	trees_s0.4_r5_scale0.1_rep3.variants.tsv
summarized	[('Other', 0.999999999999975)]
lineages	auto.L.1 auto.L.2
abundances	0.73454427 0.26545573
resid	1.2169976107303376e-12
coverage	100.0
