	trees_s0.7_r5_scale0.01_rep1.variants.tsv
summarized	[('Other', 0.999999999999448)]
lineages	auto.L.1.1 auto.L.1.2 auto.L.1 L.1XL.1.1.2.1_high_1
abundances	0.58153861 0.14104080 0.14104080 0.13637980
resid	2.768989571419351e-12
coverage	100.0
