	trees_s0.9_r1_scale10.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999887)]
lineages	auto.L.1.4 auto.L.1.1.1 auto.L.1.2.2 auto.L.1.3
abundances	0.46627333 0.37305007 0.12434645 0.03633015
resid	2.8938155798266285e-12
coverage	100.0
