	trees_s0.2_r4_scale0.1_rep5.variants.tsv
summarized	[('Other', 0.9999999999999656)]
lineages	L auto.L.2.2 auto.L.1
abundances	0.53504589 0.36552354 0.09943058
resid	2.0559991993656232e-12
coverage	100.0
