	trees_s1.0_r1_scale10.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999907)]
lineages	L.1XL.1.2.1_low_1 L auto.L.1.2.2
abundances	0.54367087 0.43348757 0.02284156
resid	1.9969679657578954e-12
coverage	100.0
